date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:53	356012/356012	---M--	200	added ('OK')	image/jpeg	date:Fri,%2012%20Aug%202022%2017:11:00%20GMT	https://www.sikkakaamyagreens.in/img/images/gal-sikka-kaamya-greens-2.jpeg	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/img/images/gal-sikka-kaamya-greens-2.jpg	(from https://www.sikkakaamyagreens.in/)
15:46:53	324278/324278	---M--	200	added ('OK')	image/jpeg	date:Fri,%2012%20Aug%202022%2017:10:33%20GMT	https://www.sikkakaamyagreens.in/img/images/gal-sikka-kaamya-greens-1.jpeg	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/img/images/gal-sikka-kaamya-greens-1.jpg	(from https://www.sikkakaamyagreens.in/)
15:46:53	84867/84867	---M--	200	added ('OK')	image/jpeg	date:Sun,%2014%20Aug%202022%2003:46:12%20GMT	https://www.sikkakaamyagreens.in/img/images/890_2bhk.jpeg	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/img/images/890_2bhk.jpg	(from https://www.sikkakaamyagreens.in/)
15:46:53	233935/233935	---M--	200	added ('OK')	image/jpeg	date:Fri,%2012%20Aug%202022%2017:11:35%20GMT	https://www.sikkakaamyagreens.in/img/images/gal-sikka-kaamya-greens-3.jpeg	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/img/images/gal-sikka-kaamya-greens-3.jpg	(from https://www.sikkakaamyagreens.in/)
15:46:53	67408/67408	---M--	200	added ('OK')	image/jpeg	date:Sun,%2014%20Aug%202022%2003:46:17%20GMT	https://www.sikkakaamyagreens.in/img/images/990_2bhk.jpeg	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/img/images/990_2bhk.jpg	(from https://www.sikkakaamyagreens.in/)
15:46:54	80669/80669	---M--	200	added ('OK')	image/jpeg	date:Sun,%2014%20Aug%202022%2003:46:25%20GMT	https://www.sikkakaamyagreens.in/img/images/1090_2bhk.jpeg	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/img/images/1090_2bhk.jpg	(from https://www.sikkakaamyagreens.in/)
15:46:54	61871/61871	---M--	200	added ('OK')	image/jpeg	date:Sun,%2014%20Aug%202022%2003:46:36%20GMT	https://www.sikkakaamyagreens.in/img/images/1100_2bhk_Study.jpeg	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/img/images/1100_2bhk_Study.jpg	(from https://www.sikkakaamyagreens.in/)
15:46:54	83082/83082	---M--	200	added ('OK')	image/jpeg	date:Sun,%2014%20Aug%202022%2003:46:44%20GMT	https://www.sikkakaamyagreens.in/img/images/1250_3bhk.jpeg	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/img/images/1250_3bhk.jpg	(from https://www.sikkakaamyagreens.in/)
15:46:54	81785/81785	---M--	200	added ('OK')	image/jpeg	date:Sun,%2014%20Aug%202022%2003:46:55%20GMT	https://www.sikkakaamyagreens.in/img/images/1315_3bhk.jpeg	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/img/images/1315_3bhk.jpg	(from https://www.sikkakaamyagreens.in/)
15:46:55	66373/66373	---M--	200	added ('OK')	image/jpeg	date:Sun,%2014%20Aug%202022%2003:47:02%20GMT	https://www.sikkakaamyagreens.in/img/images/1450_3bhk_Servant.jpeg	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/img/images/1450_3bhk_Servant.jpg	(from https://www.sikkakaamyagreens.in/)
15:46:55	75632/75632	---M--	200	added ('OK')	image/jpeg	date:Sun,%2014%20Aug%202022%2003:47:11%20GMT	https://www.sikkakaamyagreens.in/img/images/1650_3bhk_Servant.jpeg	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/img/images/1650_3bhk_Servant.jpg	(from https://www.sikkakaamyagreens.in/)
15:46:55	74618/74618	---M--	200	added ('OK')	image/jpeg	date:Sun,%2014%20Aug%202022%2003:47:21%20GMT	https://www.sikkakaamyagreens.in/img/images/1695_4bhk_Servant.jpeg	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/img/images/1695_4bhk_Servant.jpg	(from https://www.sikkakaamyagreens.in/)
15:46:55	82210/82210	---M--	200	added ('OK')	image/jpeg	date:Sun,%2014%20Aug%202022%2003:47:31%20GMT	https://www.sikkakaamyagreens.in/img/images/2150_4bhk_Servant%20.jpeg	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/img/images/2150_4bhk_Servant%20.jpg	(from https://www.sikkakaamyagreens.in/)
15:46:56	204720/204720	---M--	200	added ('OK')	image/jpeg	date:Sun,%2014%20Aug%202022%2003:49:30%20GMT	https://www.sikkakaamyagreens.in/img/images/sikka-kaamya-greens-site-map.jpeg	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/img/images/sikka-kaamya-greens-site-map.jpg	(from https://www.sikkakaamyagreens.in/)
15:46:56	53500/53500	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Aug%202022%2017:35:01%20GMT	https://www.sikkakaamyagreens.in/img/images/sikka-logo.png	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/img/images/sikka-logo.png	(from https://www.sikkakaamyagreens.in/)
15:46:56	165492/165492	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20Sep%202021%2018:21:01%20GMT	https://www.sikkakaamyagreens.in/img/images/bg.jpeg	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/img/images/bg.jpg	(from https://www.sikkakaamyagreens.in/)
15:46:56	21528/21528	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202023%2010:16:56%20GMT	https://www.sikkakaamyagreens.in/specifications.php	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/specifications.html	(from https://www.sikkakaamyagreens.in/)
15:46:56	17656/17656	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202023%2010:16:56%20GMT	https://www.sikkakaamyagreens.in/location-map.php	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/location-map.html	(from https://www.sikkakaamyagreens.in/)
15:46:56	16922/16922	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202023%2010:16:57%20GMT	https://www.sikkakaamyagreens.in/site-map.php	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/site-map.html	(from https://www.sikkakaamyagreens.in/)
15:46:57	23143/23143	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202023%2010:16:57%20GMT	https://www.sikkakaamyagreens.in/floor-plan.php	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/floor-plan.html	(from https://www.sikkakaamyagreens.in/)
15:46:57	17421/17421	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202023%2010:16:57%20GMT	https://www.sikkakaamyagreens.in/price-list.php	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/price-list.html	(from https://www.sikkakaamyagreens.in/)
15:46:57	15782/15782	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202023%2010:16:57%20GMT	https://www.sikkakaamyagreens.in/thank-you.php	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/thank-you.html	(from https://www.sikkakaamyagreens.in/)
15:46:57	3543/3543	---M--	200	added ('OK')	application/xml	date:Thu,%2001%20Sep%202022%2017:43:12%20GMT	https://www.sikkakaamyagreens.in/sitemap.xml	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/sitemap.xml	(from https://www.sikkakaamyagreens.in/)
